campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
YOUNG WOMEN'S STEAM ACADEMY AT BAL,1199,100,1129,94.199997,672,56,106,8.8000002,'06 - 08,57905352
ANN RICHARDS STEAM ACADEMY,1322,100,1266,95.800003,734,55.5,141,10.7,'06 - 08,57905353
KENNEDY-CURRY MIDDLE,762,100,682,89.5,203,26.6,102,13.4,'06 - 08,57905354
ROSEMONT MIDDLE,200,100,157,78.5,139,69.5,2,1,'06 - 08,57905359
D A HULCY STEAM MIDDLE,532,100,339,63.700001,199,37.400002,37,7,'06 - 08,57905360
IGNITE MIDDLE,189,100,134,70.900002,63,33.299999,24,12.7,'06 - 06,57905362
SCHOOL FOR THE TALENTED & GIFTED I,208,100,179,86.099998,166,79.800003,1,0.5,'04 - 06,57905363
WILMER-HUTCHINS H S,914,100,677,74.099998,233,25.5,123,13.5,'09 - 12,57905380
BARACK OBAMA MALE LEADERSHIP ACAD,461,100,349,75.699997,116,25.200001,9,2,'06 - 12,57905381
INNOVATION DESIGN ENTREPRENEURSHIP,318,100,269,84.599998,92,28.9,38,11.9,'09 - 12,57905382
CITYLAB H S,147,100,88,59.900002,30,20.4,18,12.2,'09 - 10,57905383
SUDIE L WILLIAMS TALENTED AND GIFT,204,100,78,38.200001,40,19.6,8,3.9000001,'04 - 06,57905384
MONTESSORI ACADEMY AT ONESIMO HERN,0,0,133,75.599998,86,48.900002,10,5.6999998,'PK - 02,57905385
SOLAR PREP FOR BOYS AT JOHN F KENN,0,0,110,50,55,25,13,5.9000001,'PK - 02,57905386
JOHN LESLIE PATTON JR ACADEMIC CEN,210,100,164,78.099998,49,23.299999,32,15.2,'09 - 12,57905389
DESOTO H S & ISTEAM3D,3101,100,2065,66.599998,66,2.0999999,294,9.5,'09 - 12,57906001
WINGS (WHERE I NOW GAIN SUCCESS),67,100,35,52.200001,2,3,14,20.9,'09 - 12,57906003
DALLAS COUNTY JJAEP DESOTO CAMPUS,3,100,2,66.699997,0,0,1,33.299999,'08 - 12,57906007
DESOTO ALTERNATIVE EDUCATION CENTE,11,100,9,81.800003,0,0,4,36.400002,'07 - 12,57906008
DESOTO EAST MIDDLE (ISTEAM),577,100,489,84.699997,19,3.3,65,11.3,'06 - 08,57906041
DESOTO WEST MIDDLE (ISTEAM),721,100,498,69.099998,18,2.5,68,9.3999996,'06 - 08,57906042
CURTISTENE S MCCOWAN MIDDLE (ISTEA,961,100,706,73.5,67,7,85,8.8000002,'06 - 08,57906043
RUBY YOUNG EL,242,56.900002,310,72.900002,29,6.8000002,31,7.3000002,'KG - 05,57906102
NORTHSIDE EL,221,56.400002,316,80.599998,20,5.0999999,42,10.7,'KG - 05,57906103
THE MEADOWS EL,218,50.299999,382,88.199997,23,5.3000002,49,11.3,'KG - 05,57906106
COCKRELL HILL EL,308,52.5,433,73.800003,115,19.6,71,12.1,'KG - 05,57906107
FRANK D MOATES EL,263,54.599998,402,83.400002,163,33.799999,38,7.9000001,'KG - 05,57906108
WOODRIDGE EL,315,56,424,75.300003,29,5.1999998,37,6.5999999,'KG - 05,57906109
AMBER TERRACE DISCOVERY & DESIGN E,0,0,440,100,57,13,42,9.5,'EE - PK,57906110
LITTLE EAGLES EARLY LEARNING CENTE,0,0,84,100,0,0,1,1.2,'PK - PK,57906111
KATHERINE JOHNSON TECHNOLOGY MAGNE,304,56,436,80.300003,57,10.5,27,5,'KG - 05,57906112
DUNCANVILLE H S,4346,100,3084,71,415,9.5,347,8,'09 - 12,57907001
MARY E SMITHEY PACE H S,105,100,78,74.300003,14,13.3,4,3.8,'09 - 12,57907004
SUMMIT LEARNING CENTER,64,100,54,84.400002,5,7.8000002,3,4.6999998,'07 - 12,57907005
P A S S LEARNING CTR,5,100,4,80,0,0,0,0,'09 - 12,57907007
J HERMAN REED MIDDLE,601,100,488,81.199997,92,15.3,63,10.5,'07 - 08,57907041
WILLIAM H BYRD MIDDLE,719,100,571,79.400002,84,11.7,43,6,'07 - 08,57907042
G W KENNEMER MIDDLE,869,100,652,75,118,13.6,60,6.9000001,'06 - 08,57907043
CENTRAL EL,193,44.400002,382,87.800003,207,47.599998,32,7.4000001,'PK - 04,57907101
FAIRMEADOWS EL,173,38.900002,383,86.099998,220,49.400002,40,9,'PK - 04,57907102
MERRIFIELD EL,188,42.700001,386,87.699997,97,22,30,6.8000002,'PK - 04,57907103
WILLIAM LEE HASTINGS EL,258,44,524,89.300003,166,28.299999,54,9.1999998,'PK - 04,57907104
S GUS ALEXANDER JR EL,188,45.099998,343,82.300003,105,25.200001,46,11,'PK - 04,57907105
CLINT Q SMITH EL,152,47.599998,282,88.400002,27,8.5,31,9.6999998,'PK - 04,57907106
CHARLES ACTON EL,204,37.599998,462,85.099998,182,33.5,41,7.5999999,'PK - 04,57907107
H BOB DANIEL SR INT,628,100,512,81.5,104,16.6,53,8.3999996,'05 - 06,57907108
GLENN C HARDIN INT,632,100,549,86.900002,175,27.700001,61,9.6999998,'05 - 06,57907109
GRACE R BRANDENBURG INT,473,100,377,79.699997,78,16.5,56,11.8,'05 - 06,57907110
CJ & ANNE HYMAN EL,184,38.799999,335,70.699997,104,21.9,66,13.9,'EE - 04,57907111
JAMES R BILHARTZ JR EL,210,36.700001,463,80.900002,217,37.900002,104,18.200001,'EE - 04,57907112
GARLAND H S,2386,100,1529,64.099998,442,18.5,181,7.5999999,'09 - 12,57909002
S GARLAND H S,2181,100,1702,78,553,25.4,195,8.8999996,'09 - 12,57909003
N GARLAND H S,2724,100,1741,63.900002,455,16.700001,175,6.4000001,'09 - 12,57909004
LAKEVIEW CENTENNIAL H S,2398,100,1511,63,168,7,148,6.1999998,'09 - 12,57909005
P A S S LEARNING CTR,18,100,15,83.300003,6,33.299999,1,5.5999999,'07 - 12,57909007
NAAMAN FOREST H S,2174,100,1360,62.599998,335,15.4,149,6.9000001,'09 - 12,57909008
ROWLETT H S,2585,100,1256,48.599998,203,7.9000001,186,7.1999998,'09 - 12,57909009
SACHSE H S,2796,100,1088,38.900002,187,6.6999998,214,7.6999998,'09 - 12,57909010
AUSTIN ACAD FOR EXCELL,978,100,452,46.200001,166,17,49,5,'06 - 08,57909041
BUSSEY MIDDLE,929,100,838,90.199997,503,54.099998,103,11.1,'06 - 08,57909042
SAM HOUSTON MIDDLE,1008,100,864,85.699997,575,57,98,9.6999998,'06 - 08,57909043
JACKSON TECHNOLOGY CENTER,1374,100,842,61.299999,417,30.299999,58,4.1999998,'06 - 08,57909045
O'BANION MIDDLE,1209,100,1026,84.900002,547,45.200001,112,9.3000002,'06 - 08,57909046
CLASSICAL CENTER AT BRANDENBURG MI,1191,100,733,61.5,235,19.700001,85,7.0999999,'06 - 08,57909047
SELLERS MIDDLE,867,100,707,81.5,350,40.400002,95,11,'06 - 08,57909048
WEBB MIDDLE,1193,100,847,71,347,29.1,125,10.5,'06 - 08,57909049
COYLE MIDDLE,1006,100,630,62.599998,201,20,106,10.5,'06 - 08,57909050
LYLES MIDDLE,683,100,530,77.599998,167,24.5,64,9.3999996,'06 - 08,57909051
B G HUDSON MIDDLE,1297,100,572,44.099998,218,16.799999,127,9.8000002,'06 - 08,57909052
GARLAND AEC,60,98.400002,49,80.300003,20,32.799999,13,21.299999,'01 - 12,57909053
VERNON SCHRADE MIDDLE,1063,100,538,50.599998,111,10.4,117,11,'06 - 08,57909054
BEAVER TECHNOLOGY CENTER,351,60.5,339,58.400002,222,38.299999,59,10.2,'KG - 05,57909101
BULLOCK EL,263,45.299999,498,85.699997,434,74.699997,62,10.7,'PK - 05,57909102
CALDWELL EL,256,55.5,417,90.5,305,66.199997,36,7.8000002,'KG - 05,57909103
CENTERVILLE EL,131,48.5,238,88.099998,163,60.400002,52,19.299999,'KG - 05,57909105
COOPER EL,292,54.099998,427,79.099998,309,57.200001,53,9.8000002,'KG - 05,57909107
DAUGHERTY EL,393,51.099998,642,83.5,584,75.900002,74,9.6000004,'KG - 05,57909108
FREEMAN EL,148,51.200001,241,83.400002,166,57.400002,52,18,'EE - 05,57909109
HANDLEY EL,241,58.200001,343,82.900002,188,45.400002,31,7.5,'KG - 05,57909110
KIMBERLIN ACAD FOR EXCEL,271,58.900002,138,30,56,12.2,31,6.6999998,'KG - 05,57909111
PARK CREST EL,196,61.299999,261,81.599998,195,60.900002,34,10.6,'KG - 05,57909112
SOUTHGATE EL,225,49.099998,380,83,238,52,60,13.1,'EE - 05,57909113
WATSON TECHNOLOGY CENTER,338,58.700001,315,54.700001,212,36.799999,32,5.5999999,'KG - 05,57909115
WEAVER EL,229,41.799999,413,75.400002,241,44,80,14.6,'EE - 05,57909116
WILLIAMS EL,143,53.200001,226,84,164,61,25,9.3000002,'KG - 05,57909117
BRADFIELD EL,222,45.5,410,84,391,80.099998,32,6.5999999,'PK - 05,57909119
SHOREHAVEN EL,192,55.5,294,85,217,62.700001,44,12.7,'EE - 05,57909120
MONTCLAIR EL,288,51.099998,462,81.900002,301,53.400002,41,7.3000002,'PK - 05,57909121
WALNUT GLEN ACAD FOR EXCEL,246,59.599998,239,57.900002,167,40.400002,32,7.6999998,'KG - 05,57909122
GOLDEN MEADOWS EL,292,53.599998,452,82.900002,361,66.199997,50,9.1999998,'KG - 05,57909123
HEATHER GLEN EL,272,60,366,80.800003,228,50.299999,43,9.5,'KG - 05,57909124
HILLSIDE ACAD FOR EXCEL,269,58.200001,248,53.700001,175,37.900002,30,6.5,'KG - 05,57909125
DAVIS EL,293,50.799999,477,82.699997,403,69.800003,49,8.5,'EE - 05,57909126
ROACH EL,252,52.700001,354,74.099998,288,60.299999,39,8.1999998,'KG - 05,57909127
ETHRIDGE EL,374,51.400002,561,77.199997,424,58.299999,61,8.3999996,'KG - 05,57909128
CLASSICAL CENTER AT VIAL EL,302,53.599998,293,52,152,27,29,5.1999998,'KG - 05,57909129
CLUB HILL EL,251,46.599998,421,78.099998,211,39.099998,53,9.8000002,'PK - 05,57909132
HICKMAN EL,231,47.299999,388,79.5,218,44.700001,56,11.5,'PK - 05,57909133
NORTHLAKE EL,270,48.900002,431,78.099998,294,53.299999,47,8.5,'PK - 05,57909134
TOLER EL,285,49.599998,432,75.099998,177,30.799999,39,6.8000002,'PK - 05,57909136
ROWLETT EL,290,53.599998,333,61.599998,163,30.1,59,10.9,'KG - 05,57909137
SPRING CREEK EL,290,51,387,68,255,44.799999,46,8.1000004,'EE - 05,57909138
LUNA EL,112,34.700001,98,30.299999,36,11.1,26,8,'EE - 05,57909139
BACK EL,205,48.900002,293,69.900002,207,49.400002,43,10.3,'PK - 05,57909140
SHUGART EL,273,50,421,77.099998,173,31.700001,61,11.2,'PK - 05,57909141
HERFURTH EL,115,30.299999,145,38.200001,86,22.6,27,7.0999999,'EE - 05,57909142
ABBETT EL,355,49.599998,332,46.400002,195,27.200001,57,8,'KG - 05,57909143
KEELEY EL,332,51.099998,174,26.799999,60,9.1999998,63,9.6999998,'KG - 05,57909144
ROBERT B SEWELL EL,317,48.900002,303,46.799999,105,16.200001,81,12.5,'KG - 05,57909145
KATHERINE STEPHENS EL,303,49.099998,447,72.400002,194,31.4,47,7.5999999,'PK - 05,57909146
VERNAL LISTER EL,231,55.099998,284,67.800003,194,46.299999,37,8.8000002,'KG - 05,57909147
NORMA DORSEY EL,319,51.5,317,51.200001,172,27.799999,49,7.9000001,'KG - 05,57909148
STEADHAM EL,250,49.200001,275,54.099998,140,27.6,66,13,'EE - 05,57909154
JOHN W ARMSTRONG EL,398,46.799999,302,35.5,246,28.9,79,9.3000002,'EE - 05,57909155
NITA PEARSON EL,299,45.400002,416,63.200001,166,25.200001,63,9.6000004,'PK - 05,57909156
GLEN COUCH EL,280,47.200001,435,73.400002,156,26.299999,71,12,'EE - 05,57909157
LIBERTY GROVE EL,251,48.700001,266,51.700001,105,20.4,101,19.6,'EE - 05,57909158
GEORGE WASHINGTON CARVER EL,336,44.900002,558,74.5,391,52.200001,72,9.6000004,'EE - 05,57909159
CISNEROS PRE-K CTR,0,0,511,85,452,75.199997,39,6.5,'EE - PK,57909180
PARSONS PRE-K CTR,0,0,412,82.400002,338,67.599998,34,6.8000002,'EE - PK,57909181
GRAND PRAIRIE FINE ARTS ACADEMY,830,100,345,41.599998,77,9.3000002,1,0.1,'06 - 12,57910001
GRAND PRAIRIE H S,2942,100,2462,83.699997,1075,36.5,330,11.2,'09 - 12,57910002
SOUTH GRAND PRAIRIE H S,3335,100,2067,62,494,14.8,318,9.5,'09 - 12,57910003
LYNDON B JOHNSON DAEP,79,100,63,79.699997,19,24.1,8,10.1,'06 - 12,57910004
P A S S LEARNING CTR,10,100,7,70,1,10,0,0,'07 - 10,57910007
CROSSWINDS ACCELERATED H S,411,100,292,71,99,24.1,37,9,'09 - 12,57910009
JOHN A DUBISKI CAREER H S,1694,100,1244,73.400002,519,30.6,85,5,'09 - 12,57910010
GRAND PRAIRIE COLLEGIATE INSTITUTE,310,100,195,62.900002,45,14.5,3,1,'06 - 12,57910011
DIGITAL ARTS & TECHNOLOGY ACADEMY,733,100,634,86.5,229,31.200001,52,7.0999999,'06 - 08,57910041
ANDREW JACKSON MIDDLE,1036,100,852,82.199997,303,29.200001,77,7.4000001,'06 - 08,57910045
HARRY S TRUMAN MIDDLE,617,100,487,78.900002,125,20.299999,76,12.3,'06 - 08,57910047
RONALD W REAGAN MIDDLE,855,100,387,45.299999,73,8.5,104,12.2,'06 - 08,57910050
JAMES FANNIN MIDDLE,670,100,615,91.800003,373,55.700001,92,13.7,'06 - 08,57910051
YMLA AT JOHN F KENNEDY MIDDLE,703,100,628,89.300003,300,42.700001,87,12.4,'06 - 08,57910052
YWLA AT BILL ARNOLD,814,100,708,87,350,43,50,6.0999999,'06 - 12,57910053
STEPHEN F AUSTIN ENVIRONMENTAL SCI,244,46.599998,477,91,214,40.799999,36,6.9000001,'PK - 05,57910101
JAMES BOWIE FINE ARTS ACADEMY,264,48.700001,508,93.699997,279,51.5,71,13.1,'PK - 05,57910102
DAVID DANIELS EL ACADEMY OF SCIENC,235,61.700001,353,92.699997,146,38.299999,21,5.5,'KG - 05,57910104
FLORENCE HILL EL,269,45.299999,403,67.800003,76,12.8,105,17.700001,'PK - 05,57910106
ELLEN OCHOA STEM ACADEMY AT BEN MI,401,51.099998,700,89.199997,388,49.400002,59,7.5,'KG - 05,57910109
DWIGHT D EISENHOWER EL,357,50.900002,592,84.5,352,50.200001,37,5.3000002,'PK - 05,57910113
SAM RAYBURN EL STEAM ACADEMY,316,56.200001,469,83.5,263,46.799999,48,8.5,'KG - 05,57910118
LORENZO DE ZAVALA ENVIRONMENTAL SC,441,53.599998,690,83.900002,259,31.5,49,6,'KG - 05,57910119
SUZANNA DICKINSON EL,183,43.799999,346,82.800003,113,27,22,5.3000002,'EE - 05,57910120
GARNER FINE ARTS ACADEMY,474,46.900002,444,44,39,3.9000001,68,6.6999998,'PK - 05,57910121
GLOBAL LEADERSHIP ACADEMY AT BARBA,252,55.400002,403,88.599998,167,36.700001,28,6.1999998,'KG - 05,57910122
COLIN POWELL EL,288,54.900002,220,41.900002,56,10.7,43,8.1999998,'KG - 05,57910123
HECTOR P GARCIA EL,274,48,523,91.599998,355,62.200001,57,10,'PK - 05,57910124
SALLYE R MOORE EL,329,57.5,419,73.300003,55,9.6000004,74,12.9,'PK - 07,57910125
ERVIN C WHITT EL,315,50.700001,454,73.099998,125,20.1,42,6.8000002,'KG - 05,57910126
JUAN N SEGUIN EL,206,50.200001,365,89,182,44.400002,81,19.799999,'KG - 05,57910128
THURGOOD MARSHALL LEADERSHIP ACADE,312,45.599998,520,76,205,30,49,7.1999998,'PK - 05,57910129
MIKE MOSELEY EL,280,46.400002,439,72.800003,173,28.700001,46,7.5999999,'PK - 05,57910130
HOBBS WILLIAMS EL,343,53.5,554,86.400002,260,40.599998,66,10.3,'KG - 05,57910131
ROBERT E LEE EL,270,54.900002,461,93.699997,236,48,61,12.4,'KG - 05,57910132
BONHAM EES,0,0,339,99.699997,127,37.400002,98,28.799999,'EE - PK,57910134
SCHOOL FOR THE HIGHLY GIFTED,118,88.099998,45,33.599998,7,5.1999998,2,1.5,'01 - 07,57910135
UPLIFT LEE,127,49.599998,199,77.699997,49,19.1,12,4.6999998,'KG - 05,57910136
WILLIAM B TRAVIS WORLD LANGUAGE AC,498,63.400002,741,94.300003,523,66.5,78,9.8999996,'PK - 08,57910137
CROCKETT EARLY EDUCATION SCHOOL,0,0,632,94.5,200,29.9,20,3,'EE - PK,57910138
HIGHLAND PARK H S,2148,100,0,0,15,0.69999999,159,7.4000001,'09 - 12,57911001
HIGHLAND PARK MIDDLE,1130,100,0,0,13,1.2,71,6.3000002,'07 - 08,57911041
ARMSTRONG EL,241,47.400002,0,0,7,1.4,45,8.8999996,'KG - 04,57911101
BRADFIELD EL,272,43.200001,0,0,2,0.30000001,64,10.2,'EE - 04,57911102
HYER EL,273,41.099998,0,0,5,0.80000001,89,13.4,'EE - 04,57911103
UNIVERSITY PARK ELEMENTARY,277,43.299999,0,0,30,4.6999998,68,10.6,'KG - 04,57911104
MCCULLOCH INTERMEDIATE SCHOOL,1082,100,0,0,14,1.3,103,9.5,'05 - 06,57911105
IRVING H S,2646,100,1915,72.400002,832,31.4,233,8.8000002,'09 - 12,57912002
MACARTHUR H S,2769,100,1698,61.299999,569,20.5,247,8.8999996,'09 - 12,57912003
NIMITZ H S,2530,100,1680,66.400002,737,29.1,197,7.8000002,'09 - 12,57912004
BARBARA CARDWELL CAREER PREPARATOR,332,100,229,69,129,38.900002,17,5.0999999,'09 - 12,57912005
JACK E SINGLEY ACADEMY,1712,100,1156,67.5,334,19.5,72,4.1999998,'09 - 12,57912006
DALLAS CO SCHOOL FOR ACCELERATED L,6,100,4,66.699997,2,33.299999,1,16.700001,'07 - 11,57912007
BOWIE MIDDLE,925,100,715,77.300003,283,30.6,93,10.1,'06 - 08,57912041
CROCKETT MIDDLE,953,100,761,79.900002,357,37.5,68,7.0999999,'06 - 08,57912042
TRAVIS MIDDLE,987,100,673,68.199997,259,26.200001,82,8.3000002,'06 - 08,57912043
LAMAR MIDDLE,838,100,585,69.800003,271,32.299999,78,9.3000002,'06 - 08,57912044
AUSTIN MIDDLE,983,100,819,83.300003,427,43.400002,69,7,'06 - 08,57912045
HOUSTON MIDDLE,934,100,715,76.599998,233,24.9,89,9.5,'06 - 08,57912046
LORENZO DE ZAVALA MIDDLE,927,100,721,77.800003,301,32.5,66,7.0999999,'06 - 08,57912048
LADY BIRD JOHNSON MIDDLE,963,100,708,73.5,298,30.9,70,7.3000002,'06 - 08,57912050
BARTON EL,378,51.599998,620,84.599998,481,65.599998,55,7.5,'KG - 05,57912101
BROWN EL,392,51.900002,617,81.599998,442,58.5,48,6.3000002,'KG - 05,57912102
BRITAIN EL,350,54.900002,532,83.400002,387,60.700001,83,13,'EE - 05,57912103
GOOD EL,397,55.099998,621,86.300003,521,72.400002,49,6.8000002,'KG - 05,57912105
HALEY J EL,351,52.599998,580,87,421,63.099998,50,7.5,'KG - 05,57912106
HALEY T EL,372,49.299999,539,71.400002,264,35,69,9.1000004,'KG - 05,57912107
JOHNSTON EL,455,55.799999,637,78.199997,388,47.599998,70,8.6000004,'KG - 05,57912108
KEYES EL,348,54.900002,567,89.400002,446,70.300003,46,7.3000002,'KG - 05,57912109
LEE EL,316,51.5,464,75.699997,219,35.700001,56,9.1000004,'KG - 05,57912111
LIVELY EL,423,56.799999,570,76.5,420,56.400002,63,8.5,'KG - 05,57912112
FARINE EL,388,53.099998,477,65.300003,320,43.799999,70,9.6000004,'KG - 05,57912113
SCHULZE EL,333,54.900002,527,86.800003,380,62.599998,47,7.6999998,'KG - 05,57912114
BRANDENBURG EL,422,52.099998,593,73.199997,417,51.5,50,6.1999998,'PK - 05,57912116
ELLIOTT EL,334,55.299999,452,74.800003,322,53.299999,56,9.3000002,'KG - 05,57912118
HANES EL,339,53,470,73.400002,318,49.700001,64,10,'KG - 05,57912119
TOWNLEY EL,396,55.900002,539,76,314,44.299999,63,8.8999996,'KG - 05,57912120
DAVIS EL,410,49.599998,637,77.099998,391,47.299999,66,8,'KG - 05,57912121
GILBERT F M EL,385,53.799999,610,85.199997,483,67.5,59,8.1999998,'KG - 05,57912122
JACKIE MAE TOWNSELL EL,384,48.200001,622,78,350,43.900002,59,7.4000001,'KG - 05,57912123
JOHN W AND MARGIE STIPES EL,367,57,423,65.699997,270,41.900002,69,10.7,'KG - 05,57912124
CLIFTON EARLY CHILDHOOD,0,0,535,86.400002,396,64,37,6,'EE - PK,57912161
PIERCE EARLY CHILDHOOD,0,0,457,82.900002,378,68.599998,48,8.6999998,'EE - PK,57912162
KINKEADE EARLY CHILDHOOD,0,0,474,85.099998,339,60.900002,34,6.0999999,'EE - PK,57912163
LANCASTER H S,2091,100,1780,85.099998,64,3.0999999,206,9.8999996,'09 - 12,57913001
LANCASTER MIDDLE,1027,100,869,84.599998,91,8.8999996,97,9.3999996,'07 - 08,57913041
G W CARVER 6TH GRADE STEM LEARNING,515,100,470,91.300003,35,6.8000002,59,11.5,'06 - 06,57913042
PLEASANT RUN EL,337,46.200001,652,89.300003,36,4.9000001,46,6.3000002,'PK - 05,57913101
HOUSTON EL,307,43.700001,646,91.900002,277,39.400002,32,4.5999999,'PK - 05,57913102
WEST MAIN EL,358,49.900002,640,89.099998,44,6.0999999,43,6,'PK - 05,57913103
ROSA PARKS/MILLBROOK EL,216,45.400002,415,87.199997,1,0.2,34,7.0999999,'EE - 05,57913106
ROLLING HILLS EL,215,43.599998,443,89.900002,0,0,59,12,'EE - 05,57913107
BELT LINE EL,129,21.9,555,94.199997,7,1.2,33,5.5999999,'EE - 05,57913109
L ISD J J A E P,2,100,0,0,1,50,0,0,'11 - 12,57913111
MESQUITE H S,2634,100,1921,72.900002,307,11.7,272,10.3,'09 - 12,57914001
NORTH MESQUITE H S,2588,100,1986,76.699997,359,13.9,261,10.1,'09 - 12,57914002
WEST MESQUITE H S,2094,100,1670,79.800003,315,15,206,9.8000002,'09 - 12,57914003
POTEET H S,1787,100,1030,57.599998,118,6.5999999,182,10.2,'09 - 12,57914004
HORN H S,2619,100,1618,61.799999,242,9.1999998,242,9.1999998,'09 - 12,57914005
PASS LEARNING CTR,5,100,4,80,1,20,3,60,'07 - 11,57914007
AGNEW MIDDLE,1237,100,973,78.699997,213,17.200001,115,9.3000002,'06 - 08,57914041
VANSTON MIDDLE,903,100,742,82.199997,265,29.299999,98,10.9,'06 - 08,57914042
WILKINSON MIDDLE,771,100,689,89.400002,189,24.5,96,12.5,'06 - 08,57914043
MCDONALD MIDDLE,887,100,771,86.900002,216,24.4,75,8.5,'06 - 08,57914044
NEW MIDDLE,912,100,833,91.300003,291,31.9,105,11.5,'06 - 08,57914045
KIMBROUGH MIDDLE,1341,100,921,68.699997,164,12.2,133,9.8999996,'06 - 08,57914046
BERRY MIDDLE,1106,100,770,69.599998,190,17.200001,111,10,'06 - 08,57914047
TERRY MIDDLE,1427,100,1061,74.400002,399,28,161,11.3,'06 - 08,57914048
LANNY FRASIER MIDDLE,1222,100,1050,85.900002,322,26.4,135,11,'06 - 08,57914049
BLACK EL,323,48.799999,539,81.400002,191,28.9,84,12.7,'EE - 05,57914101
FLORENCE EL,269,46.299999,512,88.099998,270,46.5,88,15.1,'EE - 05,57914102
GALLOWAY EL,275,54,445,87.400002,235,46.200001,69,13.6,'PK - 05,57914103
HANBY EL,402,48,757,90.400002,325,38.799999,92,11,'PK - 05,57914104
HODGES EL,309,51.099998,544,89.900002,302,49.900002,60,9.8999996,'PK - 05,57914105
MCWHORTER EL,373,51.599998,656,90.699997,356,49.200001,77,10.7,'EE - 05,57914106
MOTLEY EL,153,44.700001,286,83.599998,189,55.299999,42,12.3,'EE - 05,57914107
RANGE EL,328,53.099998,561,90.800003,279,45.099998,63,10.2,'KG - 05,57914108
RUGEL EL,206,55.5,299,80.599998,41,11.1,54,14.6,'KG - 05,57914109
RUTHERFORD EL,353,50.599998,559,80.199997,237,34,63,9,'EE - 05,57914110
SHANDS EL,367,54.5,562,83.5,315,46.799999,72,10.7,'KG - 05,57914111
TISINGER EL,406,52.900002,700,91.300003,233,30.4,82,10.7,'EE - 05,57914112
TOSCH EL,317,48,587,88.800003,253,38.299999,57,8.6000004,'EE - 05,57914113
SEABOURN EL,261,39,594,88.699997,352,52.5,62,9.3000002,'EE - 05,57914114
LAWRENCE EL,179,48.200001,302,81.400002,182,49.099998,51,13.7,'EE - 05,57914115
FLOYD EL,305,54.400002,527,93.900002,342,61,38,6.8000002,'PK - 05,57914116
PORTER EL,223,50.299999,325,73.400002,249,56.200001,49,11.1,'PK - 05,57914117
MCKENZIE EL,237,50,397,83.800003,202,42.599998,39,8.1999998,'KG - 05,57914118
BEASLEY EL,206,51.900002,245,61.700001,50,12.6,53,13.4,'EE - 05,57914119
PRICE EL,188,49.5,322,84.699997,61,16.1,57,15,'EE - 05,57914120
SHAW EL,276,52.400002,396,75.099998,130,24.700001,59,11.2,'EE - 05,57914121
KIMBALL EL,108,57.799999,122,65.199997,29,15.5,29,15.5,'EE - 05,57914122
PIRRUNG EL,231,52.900002,305,69.800003,45,10.3,57,13,'EE - 05,57914123
CANNADAY EL,293,51.700001,461,81.300003,172,30.299999,83,14.6,'KG - 05,57914124
AUSTIN EL,196,48.299999,255,62.799999,72,17.700001,39,9.6000004,'PK - 05,57914125
MOSS EL,195,49.700001,301,76.800003,39,9.8999996,45,11.5,'PK - 05,57914126
THOMPSON EL,273,52.099998,340,64.900002,44,8.3999996,53,10.1,'PK - 05,57914127
GRAY EL,234,45.799999,470,92,220,43.099998,57,11.2,'EE - 05,57914128
SMITH EL,210,48.599998,268,62,46,10.6,59,13.7,'EE - 05,57914129
GENTRY EL,324,50.299999,474,73.599998,177,27.5,58,9,'EE - 05,57914130
MACKEY EL,370,55.099998,572,85.199997,374,55.700001,67,10,'KG - 05,57914131
ACHZIGER EL,413,47,654,74.400002,433,49.299999,95,10.8,'EE - 05,57914132
DR LINDA HENRIE EL,452,48.5,839,90,666,71.5,80,8.6000004,'PK - 05,57914133
MESQUITE ACADEMY,294,100,221,75.199997,18,6.0999999,22,7.5,'08 - 12,57914656
LAKE HIGHLANDS H S,2728,100,1450,53.200001,515,18.9,262,9.6000004,'09 - 12,57916002
RICHARDSON H S,2692,100,1299,48.299999,283,10.5,274,10.2,'09 - 12,57916003
PEARCE H S,2323,100,767,33,262,11.3,206,8.8999996,'09 - 12,57916004
BERKNER H S,2620,100,1445,55.200001,381,14.5,310,11.8,'09 - 12,57916005
CHRISTA MCAULIFFE LEARNING CENTER,60,93.800003,46,71.900002,16,25,10,15.6,'01 - 12,57916006
P A S S LEARNING CTR,4,100,2,50,3,75,0,0,'08 - 09,57916008
LAKE HIGHLANDS J H,787,100,422,53.599998,138,17.5,77,9.8000002,'07 - 08,57916042
RICHARDSON WEST J H,739,100,399,54,123,16.6,93,12.6,'07 - 08,57916044
RICHARDSON NORTH J H,694,100,297,42.799999,140,20.200001,103,14.8,'07 - 08,57916045
FOREST MEADOW J H,820,100,535,65.199997,206,25.1,93,11.3,'07 - 08,57916047
WESTWOOD MATH SCIENCE LEADERSHIP M,671,100,365,54.400002,92,13.7,71,10.6,'07 - 08,57916048
LIBERTY J H,631,100,471,74.599998,152,24.1,84,13.3,'07 - 08,57916049
APOLLO J H,637,100,374,58.700001,90,14.1,91,14.3,'07 - 08,57916050
PARKHILL J H,655,100,277,42.299999,146,22.299999,64,9.8000002,'07 - 08,57916051
ARAPAHO CLASSICAL MAGNET,328,56.799999,136,23.6,70,12.1,68,11.8,'KG - 06,57916101
CANYON CREEK EL,158,55.799999,29,10.2,7,2.5,44,15.5,'EE - 06,57916102
